puzzle_id,json_file_path,num_solutions,iteration_used,time_spent,final_hamming_distance,success,refined_img_path,refined_json_path
3606,./mnist_nonograms\mnist_puzzle_3606.json,2,2,0.6955692768096924,2,True,./classic_stimulated_defined_Images\puzzle_3606_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3606_refined.json
3618,./mnist_nonograms\mnist_puzzle_3618.json,1000,100,68.51891112327576,15,False,./classic_stimulated_defined_Images\puzzle_3618_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3618_refined.json
3620,./mnist_nonograms\mnist_puzzle_3620.json,6,100,34.39197659492493,23,False,./classic_stimulated_defined_Images\puzzle_3620_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3620_refined.json
3621,./mnist_nonograms\mnist_puzzle_3621.json,1000,100,179.1817536354065,27,False,./classic_stimulated_defined_Images\puzzle_3621_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3621_refined.json
3629,./mnist_nonograms\mnist_puzzle_3629.json,3,24,1.0741705894470215,1,True,./classic_stimulated_defined_Images\puzzle_3629_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3629_refined.json
3630,./mnist_nonograms\mnist_puzzle_3630.json,2,2,0.47505950927734375,1,True,./classic_stimulated_defined_Images\puzzle_3630_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3630_refined.json
3638,./mnist_nonograms\mnist_puzzle_3638.json,4,56,12.012701749801636,9,True,./classic_stimulated_defined_Images\puzzle_3638_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3638_refined.json
364,./mnist_nonograms\mnist_puzzle_364.json,2,4,1.7390246391296387,3,True,./classic_stimulated_defined_Images\puzzle_364_comparison.png,./classic_stimulated_defined_JSONs\puzzle_364_refined.json
3641,./mnist_nonograms\mnist_puzzle_3641.json,2,23,6.600640058517456,6,True,./classic_stimulated_defined_Images\puzzle_3641_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3641_refined.json
3643,./mnist_nonograms\mnist_puzzle_3643.json,2,100,40.15466046333313,27,False,./classic_stimulated_defined_Images\puzzle_3643_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3643_refined.json
3645,./mnist_nonograms\mnist_puzzle_3645.json,2,3,0.6898822784423828,1,True,./classic_stimulated_defined_Images\puzzle_3645_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3645_refined.json
3646,./mnist_nonograms\mnist_puzzle_3646.json,2,16,3.1216390132904053,2,True,./classic_stimulated_defined_Images\puzzle_3646_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3646_refined.json
3647,./mnist_nonograms\mnist_puzzle_3647.json,3,100,37.96749210357666,24,False,./classic_stimulated_defined_Images\puzzle_3647_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3647_refined.json
3655,./mnist_nonograms\mnist_puzzle_3655.json,6,100,25.071651458740234,21,False,./classic_stimulated_defined_Images\puzzle_3655_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3655_refined.json
3658,./mnist_nonograms\mnist_puzzle_3658.json,3,4,0.26875734329223633,1,True,./classic_stimulated_defined_Images\puzzle_3658_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3658_refined.json
3659,./mnist_nonograms\mnist_puzzle_3659.json,2,3,0.8018102645874023,1,True,./classic_stimulated_defined_Images\puzzle_3659_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3659_refined.json
3662,./mnist_nonograms\mnist_puzzle_3662.json,2,73,13.26414966583252,11,True,./classic_stimulated_defined_Images\puzzle_3662_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3662_refined.json
3663,./mnist_nonograms\mnist_puzzle_3663.json,4,19,5.04461669921875,5,True,./classic_stimulated_defined_Images\puzzle_3663_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3663_refined.json
3668,./mnist_nonograms\mnist_puzzle_3668.json,16,100,30.70357632637024,19,False,./classic_stimulated_defined_Images\puzzle_3668_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3668_refined.json
367,./mnist_nonograms\mnist_puzzle_367.json,9,31,8.18290638923645,7,True,./classic_stimulated_defined_Images\puzzle_367_comparison.png,./classic_stimulated_defined_JSONs\puzzle_367_refined.json
3672,./mnist_nonograms\mnist_puzzle_3672.json,2,73,24.348265886306763,21,True,./classic_stimulated_defined_Images\puzzle_3672_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3672_refined.json
3673,./mnist_nonograms\mnist_puzzle_3673.json,2,100,18.71159863471985,18,False,./classic_stimulated_defined_Images\puzzle_3673_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3673_refined.json
3675,./mnist_nonograms\mnist_puzzle_3675.json,4,25,7.405945301055908,7,True,./classic_stimulated_defined_Images\puzzle_3675_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3675_refined.json
3678,./mnist_nonograms\mnist_puzzle_3678.json,2,28,8.089757204055786,8,True,./classic_stimulated_defined_Images\puzzle_3678_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3678_refined.json
3679,./mnist_nonograms\mnist_puzzle_3679.json,4,34,3.8387176990509033,4,True,./classic_stimulated_defined_Images\puzzle_3679_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3679_refined.json
3686,./mnist_nonograms\mnist_puzzle_3686.json,6,69,7.332864999771118,11,True,./classic_stimulated_defined_Images\puzzle_3686_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3686_refined.json
3690,./mnist_nonograms\mnist_puzzle_3690.json,2,1,0.24123263359069824,1,True,./classic_stimulated_defined_Images\puzzle_3690_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3690_refined.json
3692,./mnist_nonograms\mnist_puzzle_3692.json,2,15,3.737365484237671,4,True,./classic_stimulated_defined_Images\puzzle_3692_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3692_refined.json
3693,./mnist_nonograms\mnist_puzzle_3693.json,2,12,1.9691393375396729,4,True,./classic_stimulated_defined_Images\puzzle_3693_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3693_refined.json
3695,./mnist_nonograms\mnist_puzzle_3695.json,27,57,15.764126300811768,11,True,./classic_stimulated_defined_Images\puzzle_3695_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3695_refined.json
3697,./mnist_nonograms\mnist_puzzle_3697.json,2,21,2.103390693664551,3,True,./classic_stimulated_defined_Images\puzzle_3697_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3697_refined.json
37,./mnist_nonograms\mnist_puzzle_37.json,2,98,14.200751066207886,19,True,./classic_stimulated_defined_Images\puzzle_37_comparison.png,./classic_stimulated_defined_JSONs\puzzle_37_refined.json
3701,./mnist_nonograms\mnist_puzzle_3701.json,3,5,1.6414682865142822,2,True,./classic_stimulated_defined_Images\puzzle_3701_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3701_refined.json
3707,./mnist_nonograms\mnist_puzzle_3707.json,7,19,8.910683393478394,7,True,./classic_stimulated_defined_Images\puzzle_3707_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3707_refined.json
3713,./mnist_nonograms\mnist_puzzle_3713.json,130,70,26.799662113189697,20,True,./classic_stimulated_defined_Images\puzzle_3713_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3713_refined.json
3716,./mnist_nonograms\mnist_puzzle_3716.json,56,76,9.902445554733276,9,True,./classic_stimulated_defined_Images\puzzle_3716_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3716_refined.json
372,./mnist_nonograms\mnist_puzzle_372.json,4,17,3.9676291942596436,2,True,./classic_stimulated_defined_Images\puzzle_372_comparison.png,./classic_stimulated_defined_JSONs\puzzle_372_refined.json
3720,./mnist_nonograms\mnist_puzzle_3720.json,17,38,10.90129804611206,8,True,./classic_stimulated_defined_Images\puzzle_3720_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3720_refined.json
3725,./mnist_nonograms\mnist_puzzle_3725.json,4,50,11.252151489257812,10,True,./classic_stimulated_defined_Images\puzzle_3725_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3725_refined.json
3727,./mnist_nonograms\mnist_puzzle_3727.json,2,2,0.23007822036743164,1,True,./classic_stimulated_defined_Images\puzzle_3727_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3727_refined.json
3731,./mnist_nonograms\mnist_puzzle_3731.json,2,43,8.499990940093994,14,True,./classic_stimulated_defined_Images\puzzle_3731_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3731_refined.json
3732,./mnist_nonograms\mnist_puzzle_3732.json,2,1,0.5193114280700684,1,True,./classic_stimulated_defined_Images\puzzle_3732_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3732_refined.json
3737,./mnist_nonograms\mnist_puzzle_3737.json,2,100,42.36104154586792,34,False,./classic_stimulated_defined_Images\puzzle_3737_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3737_refined.json
374,./mnist_nonograms\mnist_puzzle_374.json,2,37,2.446174144744873,6,True,./classic_stimulated_defined_Images\puzzle_374_comparison.png,./classic_stimulated_defined_JSONs\puzzle_374_refined.json
3747,./mnist_nonograms\mnist_puzzle_3747.json,4,100,25.387407779693604,22,False,./classic_stimulated_defined_Images\puzzle_3747_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3747_refined.json
3749,./mnist_nonograms\mnist_puzzle_3749.json,2,66,18.177162885665894,19,True,./classic_stimulated_defined_Images\puzzle_3749_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3749_refined.json
