puzzle_id,min_diff,max_diff,avg_diff,num_solutions
2908,0,8,4.0,2
2910,0,8,4.0,2
2919,0,8,4.0,2
2926,0,14,9.0,6
2927,0,34,13.333333333333334,6
2928,0,8,4.0,2
2930,0,22,12.0,8
2932,0,48,24.0,2
2934,0,6,3.3333333333333335,3
2940,0,4,2.0,2
2947,0,4,2.0,2
2950,0,24,14.555555555555555,18
2954,0,4,2.0,2
2959,0,6,3.0,2
2965,0,4,2.0,2
2966,0,20,10.0,2
2967,0,8,4.0,2
2971,0,10,5.0,2
2973,0,4,2.0,2
2976,0,8,4.0,2
2977,0,50,36.333333333333336,12
2987,0,14,9.333333333333334,3
2988,0,4,2.0,2
2989,0,8,4.0,4
2994,0,32,19.0,16
2995,0,16,8.0,2
2997,0,8,4.0,2
